PARENT_LEVEL_1_ID,PARENT_LEVEL_1_NAME,PARENT_LEVEL_2_ID,PARENT_LEVEL_2_NAME,PARENT_LEVEL_3_ID,PARENT_LEVEL_3_NAME,PARENT_LEVEL_4_ID,PARENT_LEVEL_4_NAME,PARENT_LEVEL_5_ID,PARENT_LEVEL_5_NAME,PARENT_LEVEL_6_ID,PARENT_LEVEL_6_NAME,PARENT_LEVEL_7_ID,PARENT_LEVEL_7_NAME
zmSNCYjqQGj,BURKINA FASO,TMFuUYJyGPX,CENTRE OUEST,TrAcgnjKVkr,SISSILI,ZHIYGgqyB19,DS LEO,mSZdsASmYNk,BIEHA,,,,
zmSNCYjqQGj,BURKINA FASO,mNbmpbo6Oh3,EST,tNHXncuR8wJ,GNAGNA,yhs1ecKsLOc,DS BOGANDE,XMZxaDAeh3I,BILANGA,,,,
zmSNCYjqQGj,BURKINA FASO,uaydHJWFFCV,CENTRE SUD,zzyCvOfoUxD,ZOUNDWEOGO,YBuV59UFmlo,DS MANGA,IAKGEXs6QQY,BINDE,,,,
zmSNCYjqQGj,BURKINA FASO,TMFuUYJyGPX,CENTRE OUEST,i2et1L7PtQX,BOULKIEMDE,bS3DqP4HZE7,DS KOUDOUGOU,zlGLkuGMVGX,BINGO,,,,
zmSNCYjqQGj,BURKINA FASO,awG7snlrjVy,BOUCLE DU MOUHOUN,Tv0pP8ryBYa,SOUROU,LatuEy3yR38,DS TOUGAN,BumyxXMTAbO,LANFIERA,hgmYzFHm9W7,CSPS KOUMBARA,dhwCFwi9YZi,BISSAN
zmSNCYjqQGj,BURKINA FASO,C9M7mlhBZcI,CENTRE EST,j6c8XvNzJKc,BOULGOU,ry4dVgT4brt,DS TENKODOGO,fsPa4yPBAZN,BISSIGA,,,,
zmSNCYjqQGj,BURKINA FASO,C9M7mlhBZcI,CENTRE EST,j6c8XvNzJKc,BOULGOU,EdfRX9b9vEb,DS BITTOU,EeCnHluHp69,BITTOU,,,,
zmSNCYjqQGj,BURKINA FASO,CrqTIkTFSWU,CENTRE NORD,txbsuBw6Jk9,NAMENTENGA,WVEJjdJ2S15,DS BOULSA,v5UB4LpmiIa,BOALA,,,,
zmSNCYjqQGj,BURKINA FASO,RAtbr3qeN3Q,PLATEAU CENTRAL,XM9LpD0PDcr,OUBRITENGA,jbmw2gdrrTV,DS ZINIARE,XR9xzYFQjFK,ZINIARE,uhtfkFMVoQy,CSPS TIBIN DS ZINIARE ,kKDvESN63zr,BOALIN
zmSNCYjqQGj,BURKINA FASO,mNbmpbo6Oh3,EST,tNHXncuR8wJ,GNAGNA,yhs1ecKsLOc,DS BOGANDE,TzhfyjYA26G,BOGANDE,,,,
