ADM1,ADM1_ID,ADM2,ADM2_ID,ADM2_POP,INCIDENCE_RR_MEDIAN,INCIDENCE_RR_TSR_MEDIAN,INCIDENCE_PRESUMED_MEDIAN,INCIDENCE_CRUDE_MEDIAN,PFPR_U5_MAP,PFPR_U5_MIS,PFPR_2TO10_MAP,U5_MORTALITY_MIS,U5_MORTALITY_IHME,MORBIDITY_RISK1,MORBIDITY_MORTALITY_RISK2,ITN_ACCESS_MAP,ITN_USE_MAP,ITN_USE_RATE_MAP,PROPORTION_SEASONAL_YEARS,ITN_ACCESS_SAMPLE_AVERAGE,ITN_ACCESS_CI_LOWER_BOUND,ITN_ACCESS_CI_UPPER_BOUND,DTP3_SAMPLE_AVERAGE,DTP3_CI_LOWER_BOUND,DTP3_CI_UPPER_BOUND
CENTRE OUEST,TMFuUYJyGPX,DS LEO,ZHIYGgqyB19,359349,687.5,933,686.5,562.5,32.1,27,0.35032984614372253,42,92.6,10,14,0.8708416223526001,0.8488789796829224,0.9755366444587708,0.333333333333333,0.657002056160195,0.620105100018289,0.693899012302102,0.935582751852275,0.904399859146526,0.966765644558024
SUD OUEST,t8cSsU8HYBT,DS KAMPTI,b8vL2q1vjD5,133640,699,1122,699,699,33.1,15,0.31298497319221497,112,125.9,9,14,0.8220638036727905,0.7874180674552917,0.954166829586029,0,0.610652215607133,0.547846132770044,0.673458298444221,0.874101789494497,0.782812467485578,0.965391111503417
CENTRE EST,C9M7mlhBZcI,DS POUYTENGA,bI89w2F4Edw,261277,1112,1378,1112,534.5,27.6,11,0.23757387697696686,58,96.1,9,13,0.8746222257614136,0.8747877180576324,0.9968293011188507,1,0.644578761252224,0.614068211445881,0.675089311058567,0.916472421859676,0.88654407819158,0.946400765527772
CENTRE OUEST,TMFuUYJyGPX,DS KOUDOUGOU,bS3DqP4HZE7,427479,2535,3439.5,2535,605,25.4,27,0.299628347158432,42,92.6,9,13,0.8543342351913452,0.8169302046298981,0.9530028700828552,0.333333333333333,0.657002056160195,0.620105100018289,0.693899012302102,0.935582751852275,0.904399859146526,0.966765644558024
HAUTS BASSINS,x35OtBOWemw,DS HOUNDE,c6L1agxAp4X,377285,629,983,624,587.5,26.1,7.000000000000001,0.21781004965305328,61,105,9,14,0.9175110161304474,0.8938197791576385,0.9727928340435028,0.666666666666667,0.739632684028044,0.709517711101988,0.7697476569541,0.858667412859667,0.818778445891815,0.898556379827519
CENTRE SUD,uaydHJWFFCV,DS KOMBISSIRI,c6tSFIAr5wl,202008,1177,1616,1173,820.5,29.1,15,0.26121245324611664,52,89.1,9,13,0.9268691837787628,0.91938316822052,0.9929627180099487,1,0.755167617563073,0.722810001133892,0.787525233992254,0.979748601683856,0.962779141722954,0.996718061644757
EST,mNbmpbo6Oh3,DS DIAPAGA,cKNJ2FgOaS6,718762,2630.5,4047,2630.5,268.5,36.7,27,0.291553258895874,60,133.6,9,14,0.8273818492889404,0.8227912485599518,0.981058657169342,0.333333333333333,0.583413627939287,0.538720189359201,0.628107066519372,0.8323229792518,0.742787561675904,0.921858396827695
EST,mNbmpbo6Oh3,DS FADA,dUnuun0TG6i,461755,1170,1799,1169,758,35,27,0.27129046618938446,60,133.6,9,14,0.8070394098758698,0.8071444630622864,0.9874963164329529,1,0.583413627939287,0.538720189359201,0.628107066519372,0.8323229792518,0.742787561675904,0.921858396827695
CENTRE EST,C9M7mlhBZcI,DS OUARGAYE,dnuHZje468i,413644,2131.5,2641,2115.5,576.5,35,11,0.22632953524589539,58,96.1,9,13,0.8476696908473969,0.8347700536251068,0.9820591509342194,1,0.644578761252224,0.614068211445881,0.675089311058567,0.916472421859676,0.88654407819158,0.946400765527772
PLATEAU CENTRAL,RAtbr3qeN3Q,DS ZORGHO,eKYyXbBdvmB,557651,1089,1354.5,1089,630.5,27.9,20,0.22830837965011597,47,92.6,9,13,0.8776052594184875,0.871498703956604,0.9892547726631165,1,0.65828488861975,0.623569353727356,0.693000423512145,0.943043557380181,0.908936729790403,0.977150384969958
